Age_Group,Travel_Frequency,Type_of_Public_Place,Time_of_Visit,Crowd_Level,Mode_of_Transport,Safe_Visiting_Alone,Avoid_Going_Out_At_Night,Experienced_Harassment,Lighting_Condition,CCTV_Available,Security_in_Public_Place
25-35,Daily,Restaurant/Cafe,Morning,1000-10000,Cab,0,1,0,1,1,1
25-35,Weekly,Office/Workplace Area,Afternoon,<1000,Cab,0,0,1,1,1,0
15-25,Daily,Market/Bazaar,Evening,1000-10000,Auto,1,0,1,2,1,1
35-45,Monthly,Park/Garden,Afternoon,1000-10000,Train,1,0,1,2,0,1
15-25,Daily,ATM/Bank Area,Evening,<1000,Train,0,1,0,0,1,1
15-25,Weekly,Hospital/Clinic,Night,1000-10000,Bus,1,0,1,1,0,0
15-25,Daily,Market/Bazaar,Night,<1000,Unknown,0,0,0,1,0,0
25-35,Weekly,Tourist Spot/Monument,Evening,1000-10000,Train,1,0,1,2,0,1
25-35,Daily,ATM/Bank Area,Evening,<1000,Train,0,0,1,1,1,1
25-35,Daily,Market/Bazaar,Morning,1000-10000,Cab,1,0,0,2,0,1
25-35,Daily,Metro Station,Night,1000-10000,Walk,1,0,1,1,1,0
15-25,Daily,Office/Workplace Area,Morning,1000-10000,Cab,1,1,1,0,1,0
15-25,Weekly,Gym/Fitness Center,Evening,<1000,Cab,0,0,1,2,1,0
25-35,Daily,Metro Station,Morning,1000-10000,Auto,1,0,1,0,0,0
15-25,Daily,Office/Workplace Area,Morning,1000-10000,Bus,0,1,0,0,1,0
25-35,Monthly,Street Food Area,Evening,<1000,Train,1,0,1,0,1,1
15-25,Weekly,Railway Station,Morning,<1000,Bus,1,1,1,1,1,1
15-25,Weekly,College/University Campus,Morning,1000-10000,Walk,0,0,1,2,1,0
15-25,Daily,School Area,Night,>10000,Train,1,0,1,1,0,0
35-45,Daily,Office/Workplace Area,Afternoon,>10000,Walk,0,0,1,2,1,0
25-35,Daily,Temple/Religious Place,Evening,<1000,Train,0,1,0,1,0,0
35-45,Weekly,School Area,Evening,<1000,Bus,1,0,1,2,1,1
15-25,Monthly,Parking Area,Evening,>10000,Bus,0,1,1,2,1,0
25-35,Monthly,Restaurant/Cafe,Morning,1000-10000,Unknown,0,1,0,2,1,1
15-25,Daily,Shopping Mall,Night,<1000,Walk,0,1,1,1,1,0
15-25,Weekly,School Area,Evening,1000-10000,Bike,0,0,1,0,1,0
35-45,Weekly,Metro Station,Afternoon,<1000,Walk,0,0,1,0,0,0
15-25,Daily,Street Food Area,Night,1000-10000,Bus,0,0,1,0,1,0
15-25,Daily,Gym/Fitness Center,Evening,>10000,Walk,1,0,1,1,1,0
15-25,Daily,Office/Workplace Area,Night,1000-10000,Cab,1,1,1,2,1,1
25-35,Monthly,Temple/Religious Place,Morning,>10000,Walk,0,0,0,2,1,0
35-45,Monthly,Parking Area,Evening,>10000,Auto,0,0,1,2,1,1
15-25,Weekly,Restaurant/Cafe,Afternoon,1000-10000,Bus,1,0,1,0,1,0
15-25,Daily,Metro Station,Evening,1000-10000,Bike,0,0,1,1,1,0
25-35,Weekly,Tourist Spot/Monument,Evening,>10000,Auto,1,0,0,1,0,1
25-35,Daily,Hospital/Clinic,Evening,1000-10000,Cab,0,0,1,0,1,1
25-35,Monthly,Restaurant/Cafe,Evening,1000-10000,Walk,0,1,1,1,0,0
15-25,Daily,Office/Workplace Area,Afternoon,<1000,Bus,1,0,1,1,0,0
15-25,Monthly,Residential Colony Road,Evening,>10000,Auto,0,0,1,2,1,0
25-35,Weekly,Market/Bazaar,Afternoon,1000-10000,Train,1,1,0,1,1,0
15-25,Daily,Public Bus/Train,Night,<1000,Bike,0,0,1,1,1,1
25-35,Weekly,Street Food Area,Afternoon,1000-10000,Train,1,0,1,1,0,0
15-25,Weekly,Gym/Fitness Center,Evening,<1000,Auto,0,0,1,0,1,0
15-25,Daily,Tourist Spot/Monument,Afternoon,1000-10000,Train,1,0,1,1,0,0
15-25,Weekly,Public Bus/Train,Evening,>10000,Bus,1,0,0,2,1,1
25-35,Weekly,Park/Garden,Night,1000-10000,Auto,1,0,1,1,0,1
25-35,Daily,Residential Colony Road,Night,<1000,Bus,1,1,1,2,1,0
35-45,Daily,Parking Area,Morning,1000-10000,Cab,0,0,0,1,1,1
15-25,Daily,Office/Workplace Area,Afternoon,<1000,Auto,1,0,0,2,0,0
15-25,Daily,Office/Workplace Area,Morning,<1000,Train,0,1,1,1,1,1
15-25,Weekly,Temple/Religious Place,Evening,1000-10000,Cab,1,1,1,1,0,0
25-35,Weekly,ATM/Bank Area,Afternoon,<1000,Bike,1,1,1,1,1,1
15-25,Weekly,Hospital/Clinic,Evening,1000-10000,Auto,1,0,0,1,0,0
15-25,Weekly,Parking Area,Evening,1000-10000,Cab,1,0,1,1,0,1
15-25,Weekly,Tourist Spot/Monument,Afternoon,<1000,Cab,1,0,1,1,0,0
15-25,Weekly,Hospital/Clinic,Morning,1000-10000,Walk,0,1,0,2,1,0
15-25,Weekly,Street Food Area,Afternoon,<1000,Bike,0,0,1,1,0,0
25-35,Daily,College/University Campus,Evening,1000-10000,Auto,1,1,1,2,1,1
25-35,Daily,Public Bus/Train,Night,<1000,Bus,1,1,0,1,0,1
25-35,Monthly,Hospital/Clinic,Night,1000-10000,Auto,0,0,0,1,0,0
25-35,Monthly,Library/Study Center,Morning,<1000,Cab,1,1,0,1,1,0
15-25,Monthly,Parking Area,Evening,1000-10000,Bike,1,0,0,1,1,0
15-25,Daily,Residential Colony Road,Afternoon,>10000,Walk,1,1,0,1,1,1
15-25,Yearly,Street Food Area,Afternoon,<1000,Walk,0,1,1,2,0,0
15-25,Daily,Restaurant/Cafe,Evening,1000-10000,Walk,0,0,0,1,1,0
35-45,Daily,Temple/Religious Place,Morning,<1000,Bike,0,0,1,1,1,0
25-35,Monthly,Library/Study Center,Night,1000-10000,Bus,0,1,1,2,0,1
15-25,Weekly,Street Food Area,Afternoon,1000-10000,Walk,0,0,0,0,0,0
25-35,Monthly,Cinema Hall/Multiplex,Evening,<1000,Cab,0,0,1,0,0,1
35-45,Daily,Office/Workplace Area,Night,1000-10000,Auto,0,1,0,1,1,0
15-25,Monthly,ATM/Bank Area,Afternoon,1000-10000,Bus,0,1,1,0,1,0
35-45,Monthly,Metro Station,Morning,1000-10000,Bus,0,1,0,2,0,0
15-25,Monthly,Park/Garden,Evening,<1000,Cab,1,1,1,0,1,1
15-25,Daily,Residential Colony Road,Morning,1000-10000,Bike,1,1,1,1,1,0
25-35,Weekly,Library/Study Center,Morning,<1000,Bike,1,0,1,1,0,1
